Iteration	Posterior	Likelihood	Prior	alpha_morpho	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1740	-1259.117	-1235.802	-23.31534	3.488068	0.423818	0.755411	1.08405	1.73672	4.918102
1750	-1261.109	-1242.014	-19.0945	7.25362	0.575216	0.843573	1.07836	1.50285	4.496018
1760	-1254.557	-1232.258	-22.29908	8.707641	0.608012	0.859803	1.07506	1.45712	4.816476
1770	-1251.63	-1234.4	-17.22978	6.696268	0.560211	0.835846	1.07966	1.52428	4.309545
1780	-1247.197	-1225.027	-22.17043	5.97448	0.538125	0.824108	1.08132	1.55645	4.803611
1790	-1258.338	-1236.529	-21.80912	3.556978	0.428235	0.758346	1.08416	1.72926	4.767479
1800	-1258.039	-1231.117	-26.92257	3.965396	0.452451	0.774004	1.08441	1.68914	5.278825
1810	-1253.273	-1231.129	-22.14489	2.307844	0.327447	0.684208	1.07608	1.91227	4.801057
1820	-1260.589	-1230.516	-30.07256	5.462699	0.520229	0.814265	1.08242	1.58309	5.593823
1830	-1270.791	-1233.418	-37.37227	3.429942	0.420011	0.75286	1.08395	1.74318	6.323794
1840	-1263.318	-1234.171	-29.14689	4.766922	0.4921	0.798153	1.08368	1.62606	5.501257
1850	-1256.255	-1227.502	-28.75257	2.592276	0.355034	0.706123	1.0796	1.85924	5.461824
1860	-1247.684	-1224.15	-23.53389	3.497048	0.4244	0.755799	1.08407	1.73573	4.939957
1870	-1266.499	-1235.666	-30.83361	1.757546	0.262509	0.626478	1.06254	2.04847	5.669928
1880	-1258.899	-1235.99	-22.90964	2.146373	0.310143	0.669728	1.07326	1.94687	4.877532
1890	-1264.056	-1239.232	-24.82411	8.707772	0.608014	0.859805	1.07506	1.45712	5.068979
1900	-1253.857	-1235.597	-18.26029	4.852699	0.495842	0.800343	1.08355	1.62027	4.412597
1910	-1250.159	-1226.644	-23.51456	6.019259	0.539595	0.824903	1.08122	1.55429	4.938024
